date,checked,changed,indexed,crawled_not_indexed,discovered_not_indexed,dup_no_user_canonical,dup_google_chose_different,dup_submitted_not_selected,alternate_canonical,excluded_noindex,redirect,blocked_robots,not_found,soft_404,server_error,unknown_to_google,other,unchecked
2026-09-21,1800,1800,1658,12,101,0,1,0,0,0,0,0,0,0,0,28,0,12334
2026-09-22,1800,1800,3421,13,133,0,1,0,0,1,0,0,0,0,0,31,0,10537
